No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
0,2020-01-11 13:37:36,0, ,40.8646,28.2086,10.82,-,7,AFAD-DDA,Mw,4.7,7,AFAD-DDA,-
0,2019-10-10 16:52:03,0, ,40.6778,29.2473,13.86,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-09-26 11:26:36,0, ,40.8416,28.2726,4.58,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2019-09-26 10:59:25,0, ,40.8818,28.2140,7.97,-,7,AFAD-DDA,Mw,5.8,7,AFAD-DDA,-
0,2019-09-24 08:00:22,0, ,40.8836,28.2160,5.91,-,7,AFAD-DDA,Mw,4.6,7,AFAD-DDA,-
0,2019-03-04 21:07:27,0, ,40.4570,28.4505,13.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2019-02-19 21:33:55,0, ,40.3521,27.1253,6.79,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2018-12-20 06:34:24,0, ,40.5938,28.9716,12.47,-,7,AFAD-DDA,Mw,4.5,7,AFAD-DDA,-
0,2018-11-30 02:36:34,0, ,40.6025,28.9493,14.28,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2018-05-03 02:04:33,0, ,39.9670,26.8993,10.39,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2017-12-31 20:12:02,0, ,40.5491,27.8495,13.79,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2017-07-22 22:12:32,0, ,40.0158,27.1296,14.72,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2017-03-08 20:09:58,0, ,39.9650,27.6536,15.03,-,7,AFAD-DDA,Mw,4.1,7,AFAD-DDA,-
0,2016-06-25 05:40:11,0, ,40.6985,29.2016,9.73,-,7,AFAD-DDA,Mw,4.2,7,AFAD-DDA,-
0,2016-06-07 04:09:46,0, ,40.2590,29.1605,13.92,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2015-11-16 15:45:43,0, ,40.8181,28.7631,13.23,-,7,AFAD-DDA,Mw,4.0,7,AFAD-DDA,-
0,2015-10-28 16:20:02,0, ,40.8003,27.7446,13.04,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2015-10-26 20:08:00,0, ,39.7781,26.2648,9.78,-,7,AFAD-DDA,Mw,4.3,7,AFAD-DDA,-
0,2015-07-24 06:54:10,0, ,40.2425,26.2778,21.64,-,7,AFAD-DDA,Mw,4.4,7,AFAD-DDA,-
0,2015-07-24 02:39:42,0, ,40.2473,26.2661,18.90,-,7,AFAD-DDA,Mw,4.8,7,AFAD-DDA,-
