No    ;Event ID;Date;Origin Time;Latitude;Longitude;Depth(km);xM;MD;ML;Mw;Ms;Mb;Type;Location
1;2.02E+13;13.04.2020;23:56:38.18;41.5683;28.789;17.7;4;0;4;3.7;0;0;Ke;ORMANLI ACIKLARI-ISTANBUL (KARADENIZ)
2;2.02E+13;8.03.2020;04:21:04.74;40.7057;29.262;5.1;4;0;4;3.8;0;0;Ke;YALOVA ACIKLARI (MARMARA DENIZI)
3;2.02E+13;11.01.2020;13:37:36.74;40.8613;28.2268;14.4;4.9;0;4.9;4.6;0;0;Ke;SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
4;2.02E+13;10.10.2019;16:52:03.30;40.6953;29.2597;10.3;4.1;0;4.1;3.8;0;0;Ke;YALOVA ACIKLARI (MARMARA DENIZI)
5;2.02E+13;27.09.2019;13:35:47.38;40.425;26.112;12;4.1;0;4.1;3.9;0;0;Ke;SAROS KORFEZI (EGE DENIZI)
6;2.02E+13;26.09.2019;20:20:18.53;40.8677;28.2318;9.5;4.2;0;4.2;4.2;0;0;Ke;SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
7;2.02E+13;26.09.2019;11:26:36.18;40.8758;28.2943;15.1;4.4;0;4.4;4.2;0;0;Ke;MARMARA DENIZI
8;2.02E+13;26.09.2019;10:59:24.55;40.8802;28.216;13.3;5.7;0;5.7;5.7;0;0;Ke;SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
9;2.02E+13;24.09.2019;08:00:21.42;40.8745;28.212;9.9;4.7;0;4.7;4.5;0;0;Ke;SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
10;2.02E+13;31.07.2019;11:34:35.62;39.8097;27.2312;9.9;4.1;0;4.1;3.9;0;0;Ke;UCKABAAGAC-YENICE (CANAKKALE) [South West  1.4 km]
11;2.02E+13;25.05.2019;12:13:35.04;40.5673;27.1237;16;4.2;0;4.2;4;0;0;Ke;SARKOY (TEKIRDAG) [South 5.4 km]
12;2.02E+13;4.03.2019;21:07:27.56;40.45;28.4655;13.8;4.2;0;4.2;4;0;0;Ke;BAYRAMDERE ACIKLARI-BURSA (MARMARA DENIZI)
13;2.02E+13;19.02.2019;21:33:54.96;40.3862;27.1572;11.5;4.1;0;4.1;4.1;0;0;Ke;CAKIRLI-BIGA (CANAKKALE) [North West  1.9 km]
